date,open,high,low,close,volume,change_pct,dataset
2013-07-11,8622.04,8693.88,8613.18,8693.86,,0.28,MASI
2013-07-12,8675.78,8715.47,8657.91,8715.47,,0.25,MASI
2013-07-15,8717.59,8725.59,8678.16,8715.83,,0.0,MASI
2013-07-16,8699.42,8703.62,8684.39,8698.26,,-0.2,MASI
2013-07-17,8690.36,8772.14,8665.67,8772.14,,0.85,MASI
2013-07-18,8756.49,8763.96,8728.05,8761.19,,-0.12,MASI
2013-07-19,8743.03,8784.16,8707.17,8784.14,,0.26,MASI
2013-07-22,8712.41,8716.38,8696.04,8712.48,,-0.82,MASI
2013-07-23,8587.2,8619.72,8576.64,8579.8,,-1.52,MASI
2013-07-24,8622.43,8622.43,8548.74,8586.25,,0.08,MASI
2013-07-25,8594.96,8624.04,8563.91,8624.04,,0.44,MASI
2013-07-26,8617.57,8658.45,8584.36,8658.45,,0.4,MASI
2013-07-29,8650.99,8650.99,8579.85,8579.85,,-0.91,MASI
2013-07-31,8591.28,8604.2,8557.08,8577.59,,-0.03,MASI
2013-08-01,8553.66,8584.18,8552.89,8561.63,,-0.19,MASI
2013-08-02,8548.54,8581.81,8544.51,8570.01,,0.1,MASI
2013-08-05,8541.62,8561.31,8476.59,8541.97,,-0.33,MASI
2013-08-06,8524.48,8578.1,8510.49,8578.06,,0.42,MASI
2013-08-07,8562.45,8562.45,8524.19,8541.7,,-0.42,MASI
2013-08-08,8531.67,8531.8,8506.23,8529.99,,-0.14,MASI
2013-08-12,8534.68,8542.85,8480.89,8488.47,,-0.49,MASI
2013-08-13,8484.19,8563.01,8477.38,8549.3,,0.72,MASI
2013-08-15,8575.67,8575.67,8492.16,8492.16,,-0.67,MASI
2013-08-16,8465.26,8506.54,8463.97,8506.54,,0.17,MASI
2013-08-19,8463.95,8494.28,8444.2,8465.6,,-0.48,MASI
2013-08-22,8450.04,8475.13,8412.27,8452.49,,-0.15,MASI
2013-08-23,8456.08,8473.16,8439.4,8473.16,,0.24,MASI
2013-08-26,8451.76,8472.18,8429.88,8453.9,,-0.23,MASI
2013-08-27,8460.65,8462.94,8418.35,8419.04,,-0.41,MASI
2013-08-28,8390.35,8405.07,8377.73,8405.07,,-0.17,MASI
2013-08-29,8378.53,8386.61,8339.21,8356.4,,-0.58,MASI
2013-08-30,8351.8,8431.55,8334.51,8413.72,,0.69,MASI
2013-09-02,8407.03,8445.9,8391.43,8434.87,,0.25,MASI
2013-09-03,8404.09,8442.19,8401.88,8420.28,,-0.17,MASI
2013-09-04,8412.86,8454.47,8389.8,8454.47,,0.41,MASI
2013-09-05,8449.29,8478.5,8416.92,8464.29,,0.12,MASI
2013-09-06,8449.26,8473.2,8438.79,8473.2,,0.11,MASI
2013-09-09,8472.47,8477.13,8457.94,8463.15,,-0.12,MASI
2013-09-10,8464.56,8464.96,8445.52,8450.59,,-0.15,MASI
2013-09-11,8421.29,8452.53,8393.31,8447.77,,-0.03,MASI
2013-09-12,8456.07,8457.7,8417.3,8423.17,,-0.29,MASI
2013-09-13,8420.91,8473.35,8420.44,8463.5,,0.48,MASI
2013-09-16,8432.88,8477.74,8406.81,8472.5,,0.11,MASI
2013-09-17,8434.85,8441.59,8377.67,8425.63,,-0.55,MASI
2013-09-18,8405.08,8423.05,8385.81,8413.1,,-0.15,MASI
2013-09-19,8391.51,8419.0,8361.76,8391.8,,-0.25,MASI
2013-09-20,8370.46,8420.87,8358.1,8420.87,,0.35,MASI
2013-09-23,8402.29,8409.02,8366.63,8409.02,,-0.14,MASI
2013-09-24,8398.24,8474.12,8383.37,8474.12,,0.77,MASI
2013-09-25,8442.5,8542.1,8434.43,8542.1,,0.8,MASI
2013-09-26,8526.06,8615.92,8523.17,8615.92,,0.86,MASI
2013-09-27,8617.8,8815.14,8617.8,8680.7,,0.75,MASI
2013-09-30,8677.69,8705.61,8630.36,8673.49,,-0.08,MASI
2013-10-01,8659.87,8670.01,8600.61,8613.26,,-0.69,MASI
2013-10-02,8614.72,8636.89,8590.93,8627.71,,0.17,MASI
2013-10-03,8616.28,8647.77,8613.31,8635.68,,0.09,MASI
2013-10-04,8601.63,8714.66,8593.02,8714.66,,0.91,MASI
2013-10-07,8714.51,8734.19,8672.54,8734.19,,0.22,MASI
2013-10-08,8749.49,8940.69,8749.49,8940.69,,2.36,MASI
2013-10-09,8957.09,9005.81,8877.97,8877.97,,-0.7,MASI
2013-10-10,8839.59,8864.83,8821.78,8864.83,,-0.15,MASI
2013-10-11,8898.83,8907.01,8822.52,8835.01,,-0.34,MASI
2013-10-14,8854.11,8856.02,8819.07,8836.39,,0.02,MASI
2013-10-15,8864.34,8881.61,8805.14,8881.61,,0.51,MASI
2013-10-21,8881.38,8898.31,8824.06,8898.31,,0.19,MASI
2013-10-22,8906.95,8942.13,8873.61,8935.94,,0.42,MASI
2013-10-23,8978.29,9005.94,8939.25,9005.94,,0.78,MASI
2013-10-24,9005.88,9117.43,8992.37,9110.14,,1.16,MASI
2013-10-25,9108.76,9222.3,9077.65,9222.3,,1.23,MASI
