run_date,target_date,model_name,horizon,alpha,mean_forecast,volatility_forecast,return_forecast,var_forecast,es_forecast,regime,weight,model_version,data_version,realized_return,var_breach,es_calibration_error,realized_strategy_return,updated_wealth,updated_drawdown
2026-04-26T00:15:53,2026-05-08,masi_lstm_var_es_hmm,10,0.05,,,-0.0669408511200722,-0.0842282165649168,-0.1207047192108486,high_volatility,,0.1.0,ad5ed84b08a0,0.0015705479602211,0.0,0.1222752671710697,,,
2026-04-26T00:15:53,2026-05-29,masi_lstm_var_es_hmm,25,0.05,,,-0.1058427790248309,-0.1331765037995303,-0.1908509185186818,high_volatility,,0.1.0,ad5ed84b08a0,,,,,,
2026-04-26T00:27:25,2026-04-27,masi_lstm_var_es_hmm,1,0.05,,,-0.0211685558049661,-0.026635300759906,-0.0381701837037363,high_volatility,1.0,0.1.0,ad5ed84b08a0,0.0002354204724119,0.0,0.0384056041761482,0.000235448185986,1.0030651541491329,0.0
2026-04-26T00:27:25,2026-05-08,masi_lstm_var_es_hmm,10,0.05,,,-0.0669408511200722,-0.0842282165649168,-0.1207047192108486,high_volatility,,0.1.0,ad5ed84b08a0,0.0015705479602211,0.0,0.1222752671710697,,,
2026-04-26T00:27:25,2026-05-29,masi_lstm_var_es_hmm,25,0.05,,,-0.1058427790248309,-0.1331765037995303,-0.1908509185186818,high_volatility,,0.1.0,ad5ed84b08a0,,,,,,
2026-04-26T00:28:22,2026-04-27,masi_lstm_var_es_hmm,1,0.05,,,-0.0211685558049661,-0.026635300759906,-0.0381701837037363,high_volatility,1.0,0.1.0,ad5ed84b08a0,0.0002354204724119,0.0,0.0384056041761482,0.000235448185986,1.003301324020103,0.0
2026-04-26T00:28:22,2026-05-08,masi_lstm_var_es_hmm,10,0.05,,,-0.0669408511200722,-0.0842282165649168,-0.1207047192108486,high_volatility,,0.1.0,ad5ed84b08a0,0.0015705479602211,0.0,0.1222752671710697,,,
2026-04-26T00:28:22,2026-05-29,masi_lstm_var_es_hmm,25,0.05,,,-0.1058427790248309,-0.1331765037995303,-0.1908509185186818,high_volatility,,0.1.0,ad5ed84b08a0,,,,,,
2026-04-26T00:30:57,2026-04-27,masi_lstm_var_es_hmm,1,0.05,,,-0.0211685558049661,-0.026635300759906,-0.0381701837037363,high_volatility,1.0,0.1.0,ad5ed84b08a0,0.0002354204724119,0.0,0.0384056041761482,0.000235448185986,1.003537549496841,0.0
2026-04-26T00:30:57,2026-05-08,masi_lstm_var_es_hmm,10,0.05,,,-0.0669408511200722,-0.0842282165649168,-0.1207047192108486,high_volatility,,0.1.0,ad5ed84b08a0,0.0015705479602211,0.0,0.1222752671710697,,,
